微博内容,发布者名称,发布时间及设备,发布者主页
学了pythonrjavaassemblyc到最后难倒我的是copyandpaste​,AAABBBAAA0909,4分钟前 来自iPhone12ProMax,https://weibo.com/3579198293?refer_flag=1001030103_
又要python又要java的，能不能统一点我​,人美心善钱多多,4分钟前 来自iPhone客户端,https://weibo.com/7187591983?refer_flag=1001030103_
浅浅立一个今年flag1.练字，争取写出的字笔画是直的2.驾照，压力已经给到我的教练3.深入学习化妆术，争取出神入化对得起我的💰4.ps入门到精通5.Pythonc++趁着老师还没注意到我不会偷偷入门6.六级，感觉重要程度是需要报一个班的7.浅看一下还有什么适合考的证8.建立一个新的健康文明积极向​展开c,已命中喋喋,7分钟前 来自小米8周年旗舰手机,https://weibo.com/7541012847?refer_flag=1001030103_
压力怪体质实在蚌埠住连到两三天一两点就是睡不着爬起来看信计考研择校，看些njusjtufdu什么的科大的不是跨教材就是我怎么配考的起属于是人心不足蛇吞象要是考hit本部属于是又不甘心纯纯蹭着c9名头的威工大学生的悲哀看见准备跨保cs的舍友在学zju的机器学习焦虑感促使促使我跟着学了一个礼拜svm​展开c,hsj还能保住几根头发,14分钟前 来自荣耀V305G,https://weibo.com/5919360975?refer_flag=1001030103_
要记录一下我与生信实战单细胞测序的开端在我坚持研究了一个小时以后，现在终于成功把scanpy包下载了下来……救命不知道原来在python上安装什么的时候把h5py包下载下来了，卡在最后一步，因为网上没有一样的问题所以从各种切入点查了解决办法，终于最后找对了方向果然学计算机，就是不断与bug斗智​展开c,Juneforit,18分钟前 来自iPhone客户端,https://weibo.com/5607454107?refer_flag=1001030103_
能不能来个python大神阿代码改了整整三天了​,浙江一级划水运动员,20分钟前 来自RedmiK30Pro真旗舰,https://weibo.com/5847944915?refer_flag=1001030103_
开始后悔老师讲Python的时候没有认真听在补了​,孤岛葵925,23分钟前 来自OPPOReno65G,https://weibo.com/3268202703?refer_flag=1001030103_
之后想帮忙朋友宣传一个即将开源的日本麻将ai项目，作者本人天风五段，项目使用rust和python语言。最近千千一直在脑内构思到底应该怎么介绍我不会日麻也不会神经网络，但是还是对此很感兴趣，最近有在尝试玩雀魂和天凤，更期待项目近期的开源到时候介绍可能需要提及一下早期的爆打、​展开c,千千wwww,26分钟前 来自iPhone客户端,https://weibo.com/5495682251?refer_flag=1001030103_
我是大怨种之非得用python做数据分析和画图​,在赶due的豆奶,28分钟前 来自早点睡觉的iPhone客户端,https://weibo.com/7126259377?refer_flag=1001030103_
Python好有趣啊，尤其是debug的时候……——来自初学者不知者无畏的狂妄​,阿昭月,44分钟前 来自HUAWEIMate40Pro,https://weibo.com/7465642352?refer_flag=1001030103_
Pythonopencv暗通道去雾真神奇​,别再问我吃什么,45分钟前 来自Jinx暴走的Android,https://weibo.com/5464287306?refer_flag=1001030103_
睡眠严重不足不会写python，不懂区块链，一大堆简历还没投，一堆笔试面试要做，一堆作业要写。毕业旅行是去海上上网课，心里的弦要一直绷紧。最近唯一高兴的事就是快把游泳学会了，一个下午学了尹建国一年的量。赶紧来个工作给我打发了蒜了​,Yolanda在干嘛_,47分钟前 来自iPhone客户端,https://weibo.com/7349333418?refer_flag=1001030103_
汗颜💧看到一本教小朋友学python的童书​,Karynala,49分钟前 来自iPhone客户端,https://weibo.com/7133949179?refer_flag=1001030103_
找infp给我讲python，伊嘴上说着“啊我对python其实不是很懂”一边给我开了俩晚上腾讯会议一行一行的讲，顺便还送我了一个月的节点（我们寂寞的infp真的就是这样，会自然而然地拼命取悦跟自己不熟的人）​,帮我找下按哪里能重开,50分钟前 来自iPhone,https://weibo.com/6621719754?refer_flag=1001030103_
Excel—Matlab—Python—R写个论文真不容易​,未来的CFA持证人,50分钟前 来自iPhone客户端,https://weibo.com/3277626791?refer_flag=1001030103_
💭2022.4.2｜#Xiiyo‘sDailyRecord#/唉昨晚python作业线上没做，今天突然就截止了。分数没了。我的绩点危了。好难过，亿点点自责。下次python作业一定要最先做，python一定要按时复习。/高数课又没认真听，之前没听懂后续课堂就很难跟上。这个清明小假期一定要把高数补回来。/中午吃的不​展开c,Xiiyozo,51分钟前 来自iPhone12,https://weibo.com/7418438637?refer_flag=1001030103_
下午帮同学两个小时降重论文百分之十二晚上又是和Pycharn斗智斗勇的几个小时为了运行pyecharts模块，从安装Python3.7到尝试走虚拟环境运行的路办法试了一个又一个从程序运行到回到起点感谢和我并肩作战的钊哥为了我的毕业论文，我们一起努力早上还得北京时间七点半起床叫客户，醒来又是和Pycha​展开c,22岁修机天才少年,51分钟前 来自OnePlus8T,https://weibo.com/5574605725?refer_flag=1001030103_
我真的会恨一些诡计多端的Python永远调不出来结果的参数和无论怎么处理都还是很拉的数据集​,不睡了--,57分钟前 来自iPhone客户端,https://weibo.com/5635483875?refer_flag=1001030103_
每次干无脑重复运动的时候就想我要是会python就好了啊​,好日常在1998,58分钟前 来自微博国际版,https://weibo.com/5180086717?refer_flag=1001030103_
浅浅记录一下今天吧📝🍪早起在风很大的教学楼架空层吃了早餐背了普心还是要多积累！🍪微机课要把我搞死了但是我觉得多动手还是很不错的！加油！等7号的python开课啦🍪开班会觉得fh好nb…真的两个🍪今天整理了第七章……好多！！！！但是整理完毕！开心！🍪我是便利贴富翁！🍪耶​展开c,-公主读书日记,59分钟前 来自iPhone客户端,https://weibo.com/2143422050?refer_flag=1001030103_
人家是一人得道，鸡犬升天➕姐是一人学python，鸡犬不宁@怒吃五只虾2沈阳​,要不还是叫夏初夏末吧,今天00:02 来自iPad客户端,https://weibo.com/3682348103?refer_flag=1001030103_
我突然就决定了以后我也要写Python这样，不要写成python感觉大家都是Python我一个人python就有点像小学生，没入门的感觉虽然我现在也确实没入门​,晴晴要加油啊,04月02日23:59 来自nova7你在焦点在,https://weibo.com/6888415014?refer_flag=1001030103_
我什么时候能把python学好啊​,喂啊喂啊--,04月02日23:59 来自小米MIX2S全面屏,https://weibo.com/7453561201?refer_flag=1001030103_
"4,2结束了一个堆了很久的ddl我很开心我真的觉得Python比c要实用，可能我的脑子学c有点学不动​",玛卡巴卡氏·马化楠,04月02日23:55 来自HUAWEIMate305G,https://weibo.com/6921293861?refer_flag=1001030103_
//@写书哥:要成为高手，需要一万小时定律；要熟悉某个专业，只要掌握“最小必要知识”，比如学Python编程，只要理解4个概念“数据”、“函数”、判断”、“循环”，就可以了；要了解某个专业的全貌，请看老师推荐的69本学科入门书,温带奶油味气候,04月02日23:55 来自OPPOR15梦镜版,https://weibo.com/6863753382?refer_flag=1001030103_
hls4ml的原意是利用Python直接开发FPGA但当我使用时就是：语言：Python—>C/C++—>Verilog系统：windows—>Linux—>windows软件：Pycharm—>Vivado/HLS/SDK每次遇到问题我都在想，人家世界知名高校的团队敢想敢干的事，我一个渣渣怎么敢去弄的明明是更为简单的开发方​展开c,隔壁看LAOwang,04月02日23:54 来自HarmonyOS设备,https://weibo.com/5792004699?refer_flag=1001030103_
人类为什么要学python？人类为什么要学python？人类为什么要学python？​,ocytocine,04月02日23:49 来自iPhone13,https://weibo.com/6439312450?refer_flag=1001030103_
我觉得我的python作业需要手把手教​,果给艺术茄-,04月02日23:47 来自iPhone客户端,https://weibo.com/7485787696?refer_flag=1001030103_
看老子python一个月速成可恶的毕设​,Saeran超阔爱,04月02日23:41 来自iPhone客户端,https://weibo.com/3153605532?refer_flag=1001030103_
2022.4.2星期六1.早上起来看了三个小时我一直不看的小说。2.中午去食堂买饭，吃了新的菜市，原来食堂的粉丝和花菜都这么好吃呀！(那为啥其他的难吃呢)3.今天拿了蛮多快递的，到的耳夹好好看，感觉我戴上都变得稍稍有气质了！还买了两件短袖一条裤子。裤子简直了死亡荧光绿，感觉不是我想象中​展开c,陈坚强今天开心嘛,04月02日23:40 来自Note10Pro,https://weibo.com/7711037529?refer_flag=1001030103_
4.21.美好的一天从一睁眼发现实验课已经上了二十分钟开始2.python老师早上7:52发通知今天加实验课（srds是不是有点早3.跟同学做（chao）完了最后一题一起最后离开教室4.纠结了一下要不要在楼下买饭没买还好yzy没点外卖5.磨蹭了一会一起去二餐吃饭了6.燃面的那个新品从我大一来就​展开c,藏进晚风迷人眼,04月02日23:38 来自iPhone客户端,https://weibo.com/5656330730?refer_flag=1001030103_
还是要纪念一下的今天物理线上仿真实验做了个94分让我再次相信光了但python作业做了我一天我真的累yue了​,没有高鼻梁但有大脸的高中生,04月02日23:32 来自nova7你在焦点在,https://weibo.com/5940481005?refer_flag=1001030103_
搞完python搞JavaScript，好在两个作业都被我糊弄出来了，哈哈​,不爱吃肉的肉乎乎的小竹子,04月02日23:30,https://weibo.com/3210373092?refer_flag=1001030103_
喜欢绿色的我现在看到绿色下意识害怕原因竟然是——不断📉的基金和python的非零返回​,-吃麦丽素的饼干-,04月02日23:29 来自iPhone客户端,https://weibo.com/7266135614?refer_flag=1001030103_
有一个Python存货！！L用户6631031518的微博视频​,用户6631031518,04月02日23:21 来自微博视频号,https://weibo.com/6631031518?refer_flag=1001030103_
有了标准条款，当事人就不用重新发明“法律轮子”。一下子get到了轮子的意思，跟python梦幻联动了！至今还是很遗憾学校的python课程只是浅尝辄止，连爬虫都没教，真的很想继续学一学。​,小鱼黛西,04月02日23:19 来自微博国际版,https://weibo.com/3263868060?refer_flag=1001030103_
如果九月份之前我的Python能入门，就奖励自己五个包包​,吃少点辣啊你,04月02日23:09 来自iQOOZ1x5G流畅先锋,https://weibo.com/5896047918?refer_flag=1001030103_
用java、gradle、shell任何一个，我都更擅长，更快写完，而python基本忘光光，需要花很多时间写，但就是想复习一下。,阿哈deepred,04月02日23:08 来自iPhone,https://weibo.com/2257155050?refer_flag=1001030103_
给开心线上讲考研真题（我突然可以了）希望我和python可以和平共处。给脏脏包表演了一个吹大泡泡。收到了一只非常可爱的柿子椒熊！我决定我要买一只更可爱的大柿子椒熊！！上课和脏脏包传小纸条（哈哈哈哈好土别管）商业银行老师提供道具感受银行的严格。☔️姐给的雪媚娘！学校的蛋糕店真​展开c,泥是不是屁羊ei,04月02日23:07 来自nova7Pro你在焦点在,https://weibo.com/7295439253?refer_flag=1001030103_
#南京人看到泼猴请立即报告#我是泼猴，把我从湖南抓回去，md不想学python​,Ron没有魔法棒,04月02日23:06 来自iPhone客户端,https://weibo.com/7464913624?refer_flag=1001030103_
这两天想用python写个工具。其实我也可以用java写，但是我还是要用python，因为很久没写python了，我想复习一下python，再熟悉一下，写个工具练练手。​,阿哈deepred,04月02日23:06 来自iPhone,https://weibo.com/2257155050?refer_flag=1001030103_
我真的会谢啊Python​,初恋几分甜,04月02日23:04 来自王一博肖战顺顺利利,https://weibo.com/5881098787?refer_flag=1001030103_
写完python作业奖励我去看张爱玲​,nice_m奈斯,04月02日23:01 来自iPhone客户端,https://weibo.com/5584127301?refer_flag=1001030103_
infp-T+水瓶每张图都戳到了肺管子不行不能摆烂要好好学习，拿下Python​,v艺艺v,04月02日22:56 来自HUAWEIP405G,https://weibo.com/5327350002?refer_flag=1001030103_
4.3姨妈说来就来！今天学习学的蛮开心的论文实证无从下手啊文献里用Matlab我不会啊python也学了个寂寞甚至数据都不知道去哪里找明天研究一下家里用内网也出奇慢！另外学的蛮开心的言语正确率不高但再过个几天就能刷完了申论明天也开始听课！数量还有三节课还是得多刷题才能找到感觉听完数量准备开始​展开c,小欣呼历险记,04月02日22:56 来自iPhone客户端,https://weibo.com/7718887065?refer_flag=1001030103_
python作业写完啦​,小饼干闭麦吗,04月02日22:53 来自iPhone客户端,https://weibo.com/6657269603?refer_flag=1001030103_
